"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","4","4","0","0","-5","4.4","0.87","0","-5","0","0"
"1","4","5","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","6","0","0","-6","4.1","0.87","0","-6","0","0"
"1","4","7","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","8","0","15","-4","4.6","0.87","13.53","-3.786","44.181","26.761"
"1","4","9","48","105","-2","4.9","0.87","143.542","0.206","524.312","489.879"
"1","4","10","336","138","0","5.3","0.87","423.885","6.215","1570.861","1499.345"
"1","4","11","18","159","0","5.3","0.87","172.3","2.513","621.878","583.988"
"1","4","12","131","189","0","4.8","0.87","330.335","5.141","1209.544","1150.831"
"1","4","13","42","158","0","4.3","0.87","203.455","3.382","739.019","696.979"
"1","4","14","89","127","0","4.1","0.87","198.345","3.398","725.421","683.862"
"1","4","15","187","69","0","3.9","0.87","186.295","3.28","677.057","637.212"
"1","4","16","0","15","0","4","0.87","13.434","0.202","29.665","12.76"
"1","4","17","0","0","0","4.4","0.87","0","0","0","0"
"1","4","18","0","0","0","4.5","0.87","0","0","0","0"
"1","4","19","0","0","0","4.9","0.87","0","0","0","0"
"1","4","20","0","0","0","5.2","0.87","0","0","0","0"
"1","4","21","0","0","1","5.2","0.87","0","1","0","0"
"1","4","22","0","0","1","5.1","0.87","0","1","0","0"
"1","4","23","0","0","1","4.7","0.87","0","1","0","0"
"1","5","0","0","0","1","4.7","0.87","0","1","0","0"
"1","5","1","0","0","1","4.8","0.87","0","1","0","0"
"1","5","2","0","0","1","4.7","0.87","0","1","0","0"
"1","5","3","0","0","1","4.9","0.87","0","1","0","0"
"1","5","4","0","0","1","4.9","0.87","0","1","0","0"
