Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,813957,-,-,-,41.65,-91.54,0,213,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,-0.4,0,0,0,4,-0.6000000000000001,0,0,0,0,98.49000000000001,108.77,0.14,984,1.4000000000000001,312,4.2,0.0000,0.0000
2019,1,1,1,30,-1.2000000000000002,0,0,0,4,-1.5,0,0,0,0,97.72,119.79,0.14,986,1.2000000000000002,304,4.2,0.0000,0.0000
2019,1,1,2,30,-1.6,0,0,0,4,-2.3000000000000003,0,0,0,0,94.71000000000001,130.98,0.14,987,1,306,4.5,0.0000,0.0000
2019,1,1,3,30,-1.5,0,0,0,4,-2.7,0,0,0,0,91.23,141.98,0.14,988,0.9,319,4.6000000000000005,0.0000,0.0000
2019,1,1,4,30,-1.3,0,0,0,0,-2.7,0,0,0,0,89.86,152.1,0.14,990,0.8,335,4.9,0.0000,0.0000
2019,1,1,5,30,-1.6,0,0,0,0,-2.9000000000000004,0,0,0,0,90.91,159.61,0.14,992,0.8,345,5.1000000000000005,0.0000,0.0000
2019,1,1,6,30,-2.3000000000000003,0,0,0,4,-3.7,0,0,0,0,90.4,160.87,0.14,994,0.8,349,5.300000000000001,0.0000,0.0000
2019,1,1,7,30,-3.2,0,0,0,4,-4.9,0,0,0,0,87.85000000000001,154.9,0.14,996,0.8,353,5.4,0.0000,0.0000
2019,1,1,8,30,-4.1000000000000005,0,0,0,4,-6.300000000000001,0,0,0,0,84.71000000000001,145.33,0.14,996,0.7000000000000001,178,5.2,0.0000,0.0000
2019,1,1,9,30,-4.6000000000000005,0,0,0,4,-7.2,0,0,0,0,81.98,134.5,0.14,997,0.7000000000000001,1,4.6000000000000005,0.0000,0.0000
2019,1,1,10,30,-5,0,0,0,4,-7.7,0,0,0,0,81.42,123.32000000000001,0.14,998,0.8,1,4.1000000000000005,0.0000,0.0000
2019,1,1,11,30,-5.300000000000001,0,0,0,4,-8.1,0,0,0,0,80.97,112.21000000000001,0.14,999,0.8,180,4,0.0000,0.0000
2019,1,1,12,30,-5.7,0,0,0,4,-8.5,0,0,0,0,80.46000000000001,101.46000000000001,0.14,1000,0.8,181,3.9000000000000004,0.0000,0.0000
2019,1,1,13,30,-5.9,2,16,2,4,-9.1,2,16,0,2,78,91.35000000000001,0.14,1001,0.8,3,3.9000000000000004,0.0000,0.0000
2019,1,1,14,30,-5.6000000000000005,45,453,107,0,-9.4,32,214,50,61,74.55,82.09,0.14,1001,0.8,4,3.9000000000000004,0.0000,0.0000
2019,1,1,15,30,-5.1000000000000005,66,672,247,4,-9.4,38,0,43,38,71.8,74.4,0.14,1002,0.8,182,3.8000000000000003,1.8681,1.4372
2019,1,1,16,30,-4.7,77,768,357,4,-9.200000000000001,61,2,0,62,70.64,68.60000000000001,0.14,1002,0.9,353,3.4000000000000004,3.2132,2.4924
2019,1,1,17,30,-4.3,81,815,422,4,-8.9,48,0,0,48,70.41,65.26,0.14,1001,0.9,342,3.1,2.5553,1.9885
2019,1,1,18,30,-4.2,78,830,432,4,-8.6,98,0,0,98,71.29,64.77,0.14,1001,0.9,334,3,5.2360,4.0763
2019,1,1,19,30,-4.4,75,804,386,8,-8.6,122,5,0,124,72.69,67.21000000000001,0.14,1001,0.9,330,2.8000000000000003,6.5014,5.0504
2019,1,1,20,30,-4.7,66,730,288,7,-8.700000000000001,40,0,0,40,73.79,72.27,0.14,1001,0.9,328,2.6,2.0055,1.5482
2019,1,1,21,30,-5.300000000000001,50,567,154,0,-8.700000000000001,45,349,39,109,77.05,79.4,0.14,1001,0.9,326,2.2,5.1955,3.9621
2019,1,1,22,30,-6.1000000000000005,17,163,23,4,-9.3,4,0,96,4,78,87.91,0.14,1001,0.9,327,2,0.0000,0.0000
2019,1,1,23,30,-6.4,0,0,0,4,-9.9,0,0,0,0,76.36,98.06,0.14,1001,0.9,327,2,0.0000,0.0000
2019,1,2,0,30,-7.1000000000000005,0,0,0,4,-10,0,0,0,0,80.07000000000001,108.64,0.14,1001,0.9,325,1.9000000000000001,0.0000,0.0000
2019,1,2,1,30,-7.7,0,0,0,4,-10,0,0,0,0,83.42,119.66,0.14,1001,0.9,324,1.6,0.0000,0.0000
2019,1,2,2,30,-8.3,0,0,0,4,-10.200000000000001,0,0,0,0,86.18,130.84,0.14,1000,0.9,319,1.4000000000000001,0.0000,0.0000
2019,1,2,3,30,-8.9,0,0,0,4,-10.5,0,0,0,0,88.03,141.84,0.14,1000,0.9,310,1.3,0.0000,0.0000
2019,1,2,4,30,-9.3,0,0,0,4,-10.9,0,0,0,0,88.3,151.97,0.14,999,0.9,304,1.4000000000000001,0.0000,0.0000
2019,1,2,5,30,-9.4,0,0,0,4,-11.100000000000001,0,0,0,0,87.47,159.5,0.14,999,0.9,296,1.4000000000000001,0.0000,0.0000
2019,1,2,6,30,-9.4,0,0,0,4,-11.200000000000001,0,0,0,0,87.02,160.81,0.14,999,0.9,278,1.6,0.0000,0.0000
2019,1,2,7,30,-9.3,0,0,0,4,-11.3,0,0,0,0,85.59,154.9,0.14,999,0.9,259,1.9000000000000001,0.0000,0.0000
2019,1,2,8,30,-9.200000000000001,0,0,0,4,-11.4,0,0,0,0,84.15,145.35,0.14,998,0.9,249,2,0.0000,0.0000
2019,1,2,9,30,-8.9,0,0,0,7,-11.3,0,0,0,0,82.42,134.54,0.14,997,0.9,243,2,0.0000,0.0000
2019,1,2,10,30,-8.700000000000001,0,0,0,4,-11.200000000000001,0,0,0,0,82.03,123.36,0.14,996,0.9,235,2,0.0000,0.0000
2019,1,2,11,30,-8.5,0,0,0,4,-11,0,0,0,0,82.25,112.25,0.14,996,0.9,226,2,0.0000,0.0000
2019,1,2,12,30,-8.200000000000001,0,0,0,4,-10.700000000000001,0,0,0,0,82.04,101.49000000000001,0.14,996,0.8,221,2.3000000000000003,0.0000,0.0000
2019,1,2,13,30,-7.4,2,17,2,4,-10.3,2,17,0,2,79.57000000000001,91.36,0.14,996,0.8,223,2.7,0.0000,0.0000
2019,1,2,14,30,-6.2,44,459,107,0,-9.4,44,459,0,107,78.12,82.09,0.14,996,0.7000000000000001,228,3.5,0.0000,0.0000
2019,1,2,15,30,-5.2,66,685,250,4,-8.6,36,0,29,36,76.89,74.38,0.14,995,0.6000000000000001,232,4.4,1.7701,1.3618
2019,1,2,16,30,-4.4,75,797,366,4,-8.4,60,0,61,60,73.9,68.56,0.14,994,0.6000000000000001,233,4.9,3.1106,2.4129
2019,1,2,17,30,-3.7,76,857,436,4,-8.1,110,3,18,111,71.29,65.19,0.14,992,0.5,234,5.4,5.9122,4.6012
2019,1,2,18,30,-3,74,875,448,4,-8,179,99,0,221,68.67,64.68,0.14,991,0.5,236,5.6000000000000005,11.8156,9.1993
