"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","4","4","0","0","-5","4.4","0.87","0","-5","0","0"
"1","4","5","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","6","0","0","-6","4.1","0.87","0","-6","0","0"
"1","4","7","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","8","0","15","-4","4.6","0.87","14.693","-3.768","48.153","30.593"
"1","4","9","48","105","-2","4.9","0.87","128.407","-0.032","462.964","430.705"
"1","4","10","336","138","0","5.3","0.87","320.627","4.696","1184.125","1126.313"
"1","4","11","18","159","0","5.3","0.87","170.885","2.492","615.969","578.288"
"1","4","12","131","189","0","4.8","0.87","278.17","4.326","1015.318","963.487"
"1","4","13","42","158","0","4.3","0.87","186.974","3.106","676.819","636.982"
"1","4","14","89","127","0","4.1","0.87","171.818","2.936","621.045","583.184"
"1","4","15","187","69","0","3.9","0.87","133.838","2.321","457.097","425.046"
"1","4","16","0","15","0","4","0.87","14.831","0.223","32.642","15.631"
"1","4","17","0","0","0","4.4","0.87","0","0","0","0"
"1","4","18","0","0","0","4.5","0.87","0","0","0","0"
"1","4","19","0","0","0","4.9","0.87","0","0","0","0"
"1","4","20","0","0","0","5.2","0.87","0","0","0","0"
"1","4","21","0","0","1","5.2","0.87","0","1","0","0"
"1","4","22","0","0","1","5.1","0.87","0","1","0","0"
"1","4","23","0","0","1","4.7","0.87","0","1","0","0"
"1","5","0","0","0","1","4.7","0.87","0","1","0","0"
"1","5","1","0","0","1","4.8","0.87","0","1","0","0"
"1","5","2","0","0","1","4.7","0.87","0","1","0","0"
"1","5","3","0","0","1","4.9","0.87","0","1","0","0"
"1","5","4","0","0","1","4.9","0.87","0","1","0","0"
