Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,813957,-,-,-,41.65,-91.54,0,213,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,-21.5,0,0,0,0,-25.900000000000002,0,0,0,0,67.53,108.74000000000001,0.8,1014,0.1,319,3.4000000000000004,0.0000,0.0000
2018,1,1,1,30,-22.3,0,0,0,0,-26.3,0,0,0,0,69.72,119.76,0.8,1014,0.1,316,3.5,0.0000,0.0000
2018,1,1,2,30,-23,0,0,0,0,-26.900000000000002,0,0,0,0,70.41,130.94,0.8,1014,0.1,315,3.6,0.0000,0.0000
2018,1,1,3,30,-23.5,0,0,0,0,-27.400000000000002,0,0,0,0,70.09,141.94,0.8,1014,0.1,315,3.6,0.0000,0.0000
2018,1,1,4,30,-23.900000000000002,0,0,0,8,-27.8,0,0,0,0,70.13,152.07,0.8,1015,0.1,314,3.6,0.0000,0.0000
2018,1,1,5,30,-24.200000000000003,0,0,0,0,-28.1,0,0,0,0,70.21000000000001,159.58,0.8,1015,0.1,313,3.6,0.0000,0.0000
2018,1,1,6,30,-24.400000000000002,0,0,0,0,-28.200000000000003,0,0,0,0,70.49,160.86,0.8,1015,0.1,311,3.5,0.0000,0.0000
2018,1,1,7,30,-24.700000000000003,0,0,0,0,-28.3,0,0,0,0,72,154.9,0.8,1015,0.1,308,3.4000000000000004,0.0000,0.0000
2018,1,1,8,30,-24.900000000000002,0,0,0,8,-28.3,0,0,0,0,73.36,145.33,0.8,1016,0.1,303,3.4000000000000004,0.0000,0.0000
2018,1,1,9,30,-25.200000000000003,0,0,0,8,-28.3,0,0,0,0,75.14,134.51,0.8,1016,0.1,299,3.6,0.0000,0.0000
2018,1,1,10,30,-25.3,0,0,0,8,-28.400000000000002,0,0,0,0,75.13,123.33,0.8,1016,0.2,299,3.7,0.0000,0.0000
2018,1,1,11,30,-25.200000000000003,0,0,0,0,-28.5,0,0,0,0,73.8,112.23,0.8,1016,0.2,299,3.7,0.0000,0.0000
2018,1,1,12,30,-24.900000000000002,0,0,0,0,-28.5,0,0,0,0,71.68,101.47,0.8,1016,0.2,300,3.8000000000000003,0.0000,0.0000
2018,1,1,13,30,-24.1,4,44,3,0,-28.400000000000002,4,44,0,3,67.58,91.35000000000001,0.8,1017,0.2,304,4,0.0000,0.0000
2018,1,1,14,30,-22.700000000000003,35,650,125,0,-27.700000000000003,35,650,0,125,63.89,82.08,0.8,1017,0.2,307,4.3,0.0000,0.0000
2018,1,1,15,30,-21.200000000000003,51,838,276,0,-27,51,838,0,276,59.71,74.4,0.8,1017,0.2,309,4.3,13.5685,10.4385
